regime	source	test_mae	ci_lo	ci_hi	delta_mae	delta_ci_lo	delta_ci_hi
frozen	Tm_only	7.229189092594495	6.70025028469133	7.761977191970454	0.0	0.0	0.0
frozen	FEP	7.007703892480173	6.489846389917584	7.532621823264811	-0.2214852001143222	-0.39286596844614696	-0.051074578241158075
frozen	MD_FEP400K	7.033727499873051	6.5281846853891	7.542858779005129	-0.195461592721443	-0.36563027538629245	-0.029514983056780842
frozen	thermoMPNN	7.088593902304171	6.574970161973701	7.607695717603915	-0.14059519029032344	-0.3556401064387875	0.0745322125436708
frozen	rosetta	7.231161270541303	6.719127025332747	7.75102383240909	0.0019721779468079795	-0.174678263586438	0.18277823696237658
frozen	rosetta_random	7.216079411208633	6.692700976429156	7.7457646614788125	-0.013109681385860831	-0.1964743021163635	0.17087344739288635
frozen	rosetta_esm	7.31243634157553	6.7849237241141	7.852764771668521	0.08324724898103542	-0.0979705613522326	0.2703480893419046
hot	Tm_only	6.547931901269491	6.0338683061378635	7.064277038682568	0.0	0.0	0.0
hot	FEP	6.394508715394586	5.898981315814667	6.900618946956977	-0.15342318587490344	-0.32327751287709106	0.019889620734639492
hot	MD_FEP400K	6.576658727648285	6.0563580909220525	7.10198532863945	0.028726826378795044	-0.13914101512233085	0.19747390250369365
hot	thermoMPNN	6.620592243350584	6.10249344356803	7.1450629283879765	0.07266034208109337	-0.11516911543077443	0.2639617750049534
hot	rosetta	6.625475345220457	6.109972974538465	7.144567592971613	0.07754344395096685	-0.10348802393026754	0.26268271018460887
hot	rosetta_random	6.691650032759581	6.181716831427356	7.222168060324434	0.14371813149009072	-0.060605619208240126	0.34311359819680803
hot	rosetta_esm	6.9586277046843446	6.428168108528703	7.5106465665780835	0.4106958034148534	0.14020572100709106	0.6978378811732617
